idx,tweets,labels
592025366794936321,"4 planes to leave for #Nepal tmrw carry meds,med team, 30-Bed Hospital, search&amp; rescue experts, dry food, tents &amp; blankets
#NepalEarthquake","[0, 2]"
592026266569543680,Two Israeli flights assigned to Nepal for rescue and medical aid http://t.co/Zr83ZjEjCg,[2]
592026322865500160,Bangladesh is sending a medical team to Nepal,[2]
592026863398199296,"Thanku for 200retweets still please retweet or copy paste with hashtag Lalitpur
Redcross Ambulance Service 5545666 #Nepal #EarthQuake",[2]
592027147243401216,"4 Tonne relief materials carrying food &amp; medicines
Earth excavation equipments have been sent to Nepal from India http://t.co/4xdYcsEcrx","[0, 2]"
592027270270726146,"Demand for Safe #Water high in quake-hit #Nepal .India sends 1,00,000 bottles of packaged water http://t.co/BdRlCTsMFy #NepalQuakeRelief",[0]
592027572952834048,Redcross Ambulance Service 4228094 #Nepal #Earthquake,[2]
592028374794539008,Pakistan to send 30-bed hospital and search and rescue teams to Nepal,[2]
592028384634503168,"RT Hospital, Fire Brigade and Blood Banks Telephone Number Nepal Eye Bank 4493684 #Nepal #Earthquake #Indianwithnepal #India",[2]
592028815234207745,"Plz provide medicine ,blood,food,clean water,shelter and moral support to people of #Nepal
#NepalEarthquake","[1, 3]"
592029014887399424,"Hospital, Fire Brigade and
Blood Banks #Nepal Eye Hospital 4250691
Tilganga Eye Hospital 4423684 #earthquake #India #Indian","[0, 2]"
592029398368411648,Retweet Blood bank and food #Nepal Bir Hospital 4223807/ 4221988 #HelpNepal #Earthquake #IPL #PepsiIPL #India,[2]
592029815596810241,For food and blood #Nepal #Police #Hospital 4412430/44122530 RT #OrangeArmy #IPL with do Hashtags to reach to people,[0]
592030087714856960,"RT For Food and blood TU Teaching
Hospital 4412404/441250  Bishal Bazaar Ambulance service: +977 4244121 #Nepal #earthquake #IPL","[0, 2, 4]"
592030914793836544,Blood Banks #Nepal Patan Hospital 5522278/5522266 Bhaktapur Hospital 6610676 Mental Hospital 5521333 #India #Earthquake,[2]
592031700697255936,"two C130 J and two C17 aircraft will be in Nepal today carrying rescue teams, doctors, field mobile hospitals, sniffer dogs, blankets, food","[0, 2]"
592033004001726464,1 Lakh bottles of Rail Neer - water will reach to Nepal. #IndiaWithNepal,[0]
592033253781037056,"#SriLanka Air Force to fly doctors, paramedics, medicines, equipment to #Nepal #NepalEarthquake #NepalQuake http://t.co/DFxVAKmQrX","[2, 5]"
592033451718479873,"We're sending 4 medical/logistical teams &amp; 3,000 kits w relief items &amp; medical supplies to #Nepal. http://t.co/BFJIHWCtqs #NepalEarthquake","[2, 5]"
592034145645121536,Finally power restored after 6.5 hrs. (Power went off after a small downpour) Imagine plight of people in #Nepal without proper food n water,"[0, 6]"
592035222650167296,@pmharper pls send medicines and food to nepal you plz contact @SushmaSwaraj @narendramodi for better coordination.,"[1, 3]"
592035712465129472,RT MEAIndia: Earlier today: relief materials and equipment for earthquake assistance being loaded on aircraft boun http://t.co/q74gxCEYPW,[0]
592036505419272194,#Nepal: Nepal: Earthquake in Nepal: Handicap International brings immediate aid to victims http://t.co/e5WePybFNZ #crisismanagement,[5]
592037641186463744,"10 frnds stuck in Thame, Nepal. Its remotest place they require helicopter rescue. Hotel # 097738540167. Contact ppl Iqbal,Naren. @MEAIndia",[4]
592037727727529985,@SrBachchan sir Doctor &amp; Hospital in #Nepal with Indian Embassy contact number. #NepalEarthquake #earthquake #RT http://t.co/FMMHvswrgh,[2]
592039073503584256,"Rescue &amp; medical teams, health &amp; damage assessment teams sought by Nepal: S Jaishankar, Fgn Secy. Teams being dispatched. @HeadlinesToday",[2]
592040884427890688,"Relief materials &amp; equipment for #earthquake assistance being loaded on #IAF aircraft bound for #Kathmandu, #Nepal. http://t.co/Gg7nrmKzGC",[0]
592042501235572736,"#India dispatched 100,000 bottles of #RailNeer water to quake-hit #Nepal on Saturday night.

 http://t.co/HXkVtw9hRo #nepal via @oneindia",[5]
592043734218375168,@nytimes plz send medicine and food packets to nepal if possible. #NepalEarthquake #NepalQuakeRelief,[1]
592044539675680768,"Prime Minister #NarendraModi orders immediate dispatch of relief &amp; medical teams to #Nepal. 

#earthquake",[2]
592045569591234560,"Do share this For blood
requirements in Kathmandu Contact Mr.
Adhikari 00977-9862005225 #Nepal","[0, 2, 4]"
592048683866173440,". @narendramodi took stock of the situation within hours and roped in best of medical, food and military aid. #Nepal #NepalEarthquakeRelief",[0]
592048956089106432,"3 Ton relief material,Team of doctors,NDRF, JCBs, food, water, medicines reached in Nepal.Many more teams ready #IndiaWithNepal #earthquake","[0, 2]"
592049216568066049,Earlier today: relief materials and equipment for earthquake assistance being loaded on aircraft bound for... http://t.co/ZvUeRNLcDk,[0]
592049388232531968,"Gain followers RT Bishal Bazaar Ambulance service: +977 4244121
Red cross ambulance service: +977
4228094 #Nepal #earthquake",[2]
592049417856909314,"RT #Nepal #EarthQuake #NepalEarthQuake Paropkar Ambulance service: +977
4260859Lalitpur Red Cross ambulance
service: +977 5545666","[0, 2, 4]"
592049438908092416,"Calling #Nepalese community in #Qatar to urge their families in #Nepal to donate blood, O+ type is mostly needed.
#NepalEarthquake 
#Qatar",[3]
592049561398480896,India Sends 'Rail Neer' Water to Quake-Hit Nepal: India Sends 'Rail Neer' Water to Quake-Hit http://t.co/9cS1ICuvh7,[0]
592050419259453440,Its Time we need an international agency to tackle such Emergency. Cant we setup Some agency on the lines of @RedCross society #earthquake,[1]
592052475806396417,"@geetapandeyBBC @camanpour also the aircrafts carrying mobile hospitals, packed meals, water, ground rescue forces have reached Nepal",[0]
592052489240780800,"i spent three hours in Trama center people are coming more and more,more volunteers,doctor ++ needed #Nepal Earth quick","[1, 3]"
592052647873482752,"Earthquake in Nepal and Northern India
2015: Kathmandu Ambulance and
Emergency Helpline numbers http://t.co/2Dim45WMZE @Varun_dvn sir RT",[2]
592052776701571072,".@PMOIndia @narendramodi orders immediate dispatch of relief,medical teams to Nepal, directs evacuation of Indian tourists
#IndiaWithNepal",[5]
592054705838268417,"3Novices:India Sends 'Rail Neer' Water to Quake-Hit Nepal The Indian Railways, which produces its own packaged drinking water to serve its ",[0]
592058423933440000,"Haryana Offers Food Packets, Blankets for Quake-Hit Nepal | http://t.co/hLP5K70Pcg | Outlook Wires",[0]
592058471354216448,"Relief materials/equipment 4 earthquake assistance being loaded on aircraft bound 4 Kathmandu http://t.co/CzAXM4XatT
@narendramodi @MEAIndia",[0]
592059620799057920,"2 IAF planes with rescuers, aid &amp; water have landed in #Nepal. Thank you India. Dear rest of the world - please be generous #NepalEarthquake",[0]
592066101166616577,"- Modi govt sent 4 Ton relief material, Team of doctors, 10 x NDRF, JCBs, food, water, medicines to Nepal.

-... http://t.co/ouYkukOJl6","[0, 2, 5]"
592066377768443904,"Please donate meat-free food to quake affected people.
#NepalQuake #Nepal #food #vegetarian",[1]
592067446158204928,#NepalEarthquake: We're currently sending medical teams &amp; supplies to Nepal. Learn more about our #NepalQuakeRelief: http://t.co/BFJIHWCtqs,[2]
592068279033794561,Mobile hospital with orthopaedic doctors are coming to Nepal from India. Planning to work 24 hrs. 150 tons of... http://t.co/3r7NPechZZ,"[0, 2]"
592070285676847104,Please support @Oxfam as they start delivering aid to those affected by the #NepalEarthquake  https://t.co/rMLGgCqTqt,[5]
592071141965045763,"India Sends 'Rail Neer' Water to Quake-Hit Nepal - The Indian Railways, which produces its own packaged drinking w... http://t.co/flX7nHvsr2",[0]
592076323297759232,"As #Nepal I&amp;B minister Rijal said 5,000 tents needed to house patients forced out of damaged hospital wards. https://t.co/vyhI9qbA8B","[1, 3]"
592082703232540673,#AKUToperation An AKUT medical team of 15 is preparing to deploy to #Nepal with a Turkish Airlines flight.  https://t.co/s5zZjgmY6i,[2]
592085243659571200,Medical treatment at Chabel. Operating on the road. #earthquake #kathmandu #Nepal http://t.co/zU0BayeEeQ,"[2, 4]"
592086812593557504,Oxfam preparing to provide clean water &amp; emergency food to #Nepal - you can help by donating here: https://t.co/wWQeiqwEEq #NepalEarthquake,[0]
592097046309441537,"Turkey, is sending 80-person Search, Rescue &amp; Medical Team to Nepal.","[0, 2]"
592117505356730369,#NepalEarthquake &amp; an update on our Medical Team still there for the annual Medical Camp http://t.co/Ikc6lGJt6m #OneWorldOneHeartFoundation,[2]
592125028558184448,"Pakistan Air Force flying 4 C-130s to Nepal's earthquake affected areas carrying a hospital, doctors, sniffer dogs, tents, concrete cutters.","[0, 2]"
592137179234631680,"A team of technical experts is flying from the UK with supplies to provide clean water, sanitation and emergency food supplies. #Nepal",[0]
592139574266044416,"no electricity, no shelter, no communication, no food #help #nepal #NepalQuake #earthquake","[1, 6]"
592141305343381505,Nepal rescue efforts come down to neighbors The equipment arrived in Nepal via a series of cargo and airlift... http://t.co/hnf0s9v4nJ,[0]
592142806304436224,@AnubhaShukla7 you should visit nepal they need medical store,[1]
592143616782405632,"@TheRock Do share this, For blood requirements in Kathmandu(Nepal) Contact Mr. Adhikari 00977-9862005225 http://t.co/lOIW76aGJz",[2]
592146196128366592,"Indian Railways:
#earthquake Relief bt India
100000 Rail Neer mineral water botles dispached to kathmandu on instruction of @sureshpprabhu",[4]
592147423683678208,"Railways to send 1 lakh litre water to Nepal. More today
Coordination
Bureaucrats working with devotion- involvement
Effective monitoring 2",[0]
592148963110703105,#Nepal plunges in despair. Kathmandu a classic case of urban disaster. Temporary shelter is a big need.,[1]
592154692970385408,International aid groups are coming to Nepal's rescue http://t.co/AAdwCPwsSP http://t.co/fMI9M2o7O4,[0]
592156478422712320,"@UPGovt @yadavakhilesh will send 10 Trucks of Water,10 Trucks of Biscuit and a Truck of Life-Saving Medicines to Nepal  #IndiaWithNepal",[0]
592157346899558400,"Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, scheermeorial... http://t.co/EvcNlCWPEB",[6]
592161141830209536,BREAKING: Israel to send a search and rescue mission to Nepal that will include medical teams,"[2, 5]"
592162027881140225,"India sends 4 aircrafts to Nepal today including 3 tonnes of supplies, mobile hospital, NDRF teams",[0]
592170761382596609,@AmeriCares We would like to offer solar powered 500L and up water filtration systems u can use for yr Nepal help. wwwreaals@gmail.com,[0]
592174083309047808,Nepal in deep mourning..Please help donating blood in kathmandu area if u are healthy.,[4]
592174366344884224,"RT @anirmukerji: RT @Krittivasm: 50% of houses in #Nepal damaged, commodities supply low, 5,000 tents need fr patients at damaged hospitals.","[1, 4]"
592176679214133248,blood crisis here in #Kathmandu after the massive #earthquakerelief in #nepal,[1]
592176920617361408,"Blood donations - apparently shortage of certain types. Please call Dr. Manita at 9851084500 at Nepal Red Cross Blood
 VIa Kank Mani Dixit",[3]
592176946642980864,"Free medicine Free delivery.
Prasit kandel - 9851133822
Shailesh Sharma - 9851017553
#NepalQuake #Nepal",[2]
592178230452326401,"Please help Nepal,ur help needed there. Thousands are dying without water,foods,medicines. https://t.co/4w6m7eKxDv",[1]
592179384385024000,Indian defence forces plan ten more flights today to Nepal carrying army engineering and medical teams for #NepalQuake,"[0, 2]"
592181615658291200,"@narendramodi 
modi g 
can you send some doctor for nepal 
nepal people needd to us",[3]
592181723967926274,"Nepal doesn't need money, but needs special forces with equipment, water, tents, medicines directly to victims. #nepalquake","[1, 3]"
592182148422979584,Roads &amp; telecom in Nepal are dicey.  It will take time to get answers.  #1 priority must be immediate relief especially medical,[6]
592184317712965634,India sends 'Rail Neer' water to quake-hit Nepal... http://t.co/e14zOrETYV,[0]
592187621213806592,@MEAcontrolroom @SushmaSwaraj Indians stranded in Nepal's Sundhara relief camp need help. Without food or water. Please check TV news.,[1]
592188043785678848,Swift aid from Indian Govt .. 25000 food packets daily from Gurudwaras .. and much more .. there is hope for Nepal .. lets do our bit...,[0]
592189847936180225,"#Nepal : glad to hear from more friends in #Kathmandu . Internet is back, but great shortage of #water and #power, they say. #earthquake","[1, 6]"
592190504470589440,"@mubasherlucman Mubasher, we are distributing quality #solar lights to people in #Nepal Fund lights via http://t.co/F0e9fveEGx","[0, 5]"
592191451674476544,Nepal earthquake: China sends search and rescue teams: With six sniffer dogs and relevant rescue and medical e... http://t.co/kSNp3m8iIP,"[2, 5]"
592191998196494336,@RaoKavitha send some food n water to Nepal.,[1]
592192429928763392,"#SoulVultures: Pickaxes, shovels and earth-moving equipment required in Nepal. http://t.co/ZA1VVGIXB0",[1]
592193754393489408,#NepalEarthquake @RSSorg send 2000 volunteers with Medical team to #Nepal ... http://t.co/LYRgRd0J7o,"[2, 5]"
592194905511890944,2 Arizona doctors with group on medical mission in Nepal caught in earthquake zone. http://t.co/XHQD2tBWQS #abc15 http://t.co/Dojzn3crJB,[2]
592196353381388289,"Drinking water plus emergency relief supplies headed to #Nepal by #IAF aircraft 
AP Photo http://t.co/YNukplqNhT",[0]
592196446797090816,Delhi Sikh Gurdwara body to send Langar (food) for Nepals earthquake hit people http://t.co/bhTu02wM1z,[0]
592197498342494208,Blood banks #Nepal Hospital and Research Centre 4476225 Norvic Hospital 4258554 #NepalEarthquake #MNTL #India,[2]
592197561575833600,"At least, people should get #water to drink if not food immediately ! #earthquake",[1]
592197933690261504,"Good to know that two C130 planes with medicines, equipment and field hospitals have been dispatched to #Nepal","[0, 2]"
592198032810123264,RT MEAIndia: Earlier today: relief materials and equipment for earthquake assistance being loaded on aircraft bound for Kathmandu ,"[0, 4]"
592199197446770689,International aid groups rush to reach Nepal earthquake victims: The IFCR said it was extremely concerned abou... http://t.co/FLFjCkuBVy,[0]
592202500435902467,"Delhi Sikh Gurudwara managemnt committee to snd 25K,  SMCS to snd 20K food packets to Nepal evryday #NepalEarthquake http://t.co/BgWbltmxf3","[0, 5]"
592203258401173504,Emergency Operating Room operational in Nepal Medical College.  being reserved for pregnant and severely needed ones.,"[0, 2, 4]"
592204578923352064,Went to see the the situation around my place today all people r staying out under tent.All of the old buildings r destroyed!,[6]
592206189028511745,"Shiromani Gurdwara Parbandhak Committee will
send 25,000 Food packets daily to Nepal
# IndiaWithNepal",[0]
592206288857108482,"#SevaParmoDharm Sikh bodies to send #Langar 25000 Food Packets for Nepal earthquake victims

http://t.co/xFgcjEyBFl #MannKiBaat @MrsGandhi",[0]
592206570974416897,"#Nepal RT @Kirti_Tarang: I have a support group running at the end of airport. I have food, water &amp; painkillers. Come if you need help.","[0, 2, 4]"
592206738507440128,"- 20000 RSS Volunteers including Medical teams are on the way to Nepal.
- Shiromani Gurudwara Prabandh Committee... http://t.co/PHv5BOepz5","[2, 5]"
592206943701184512,We're working with America Nepal Medical Foundation to raise funds for relief efforts immediately: http://t.co/PEwYlwBm9J #NepalEarthquake,[5]
592207027549540353,"4 tons Relief material
Team of doctors
Excavaters
Food/water
Medicine
NDRF teams
Send to Nepal
Modi is politicising the issue
#earthquake","[0, 2]"
592207177642856448,"@YusraSAskari: 4, C-130 air-crafts with facilities of a 30 bed hospital,will b dispatched to Nepal by Pak, today.Good Nepal need all of us",[2]
592207474062659584,"Oxfam in #Nepal ready to respond with lifesaving essentials  clean water, sanitation &amp; emergency food supplies #NepalEarthquake",[0]
592208444402208768,"#Pakistan Army is sending 2000meals,200 tents,medicine,600 blankets n other necessary items 2 #Nepal #NepalEarthquake http://t.co/ytzDz6FcKe","[0, 2, 5]"
592208493848895489,"our Farmers need just Compensation; but survivors in EarthQuake needs Food, Water, Shelter, Medicines, Compensations And CAPITAL To #Rebuilt","[1, 3]"
592208546428637185,"RT "" @tajinderbagga Shiromani Gurdwara Parbandhak Committee will send 25,000 Food packets daily to Nepal #IndiaWithNepal """,[0]
592209596183285762,"People desperate for food, medicine, shelter from #Nepalearthquake. At least 1,900 people are dead. #earthquake","[1, 3]"
592209897825013761,Nepal needs Aid to rebuild but first priority is to rescue those who are alive in debris &amp; need medical treatment to injured.,[3]
592210302302720001,"Pak Sends Medical, Search, Rescue Teams To Nepal http://t.co/wVjhacPsPJ","[2, 5]"
592210395663728641,Delhi Sikh Gurudwara Committee to send 25000 food packets to Nepal everyday.,[0]
592211354515156992,"Sadly, not a doctor or a nurse to help out the Nepal.",[3]
592211486795137024,"@vikramchandra Operation Maitri can't give birth to already dead 2000!
Nepal will be needing Medical aid to injured. #Reconstruction.",[3]
592211633142796288,.@MSF India is sending medical and non-medical staff to #Nepal to aid those affected by the #earthquake and to assess medical needs.,"[0, 2, 5]"
592212280239988736,"#Nepal: Nepal: PM orders medical, relief teams to be on standby for dispatch to Nepal http://t.co/sRdXzdvrLc #crisismanagement",[5]
592213511796752384,My area need mask #earthquake,[1]
592213627148505088,Various Sikh Bodies in India to send Packets of food abt 25k per day as relief to Nepal #Respect #HumanityFirst,[0]
592214320127193088,Israel sending aid team to Nepal after quake http://t.co/axruI1aXie http://t.co/48kwa6mklS,[0]
592214348455514112,We are currently  sending 4 medical and non-medical teams to #Nepal to aid those affected by the #earthquake.,"[2, 5]"
592215009255555074,Please Donate Blood #Pray4Nepal #earthquake #NepalEarthquake #Nepal #NepalQuake  https://t.co/725VFAPoOT,[3]
592215372582891520,Next IAF plane to leave for Nepal in 45 mins. This relief op going at blistering speed. 15000 blankets &amp; 2500 tents ready at Kanpur airport.,"[0, 5]"
592215865992568832,"RT timesofindia: #NepalEarthquake Shiromani Gurdwara Parbandhak Committee (SGPC) to send food, relief material to Nepal. ",[0]
592216232264216577,Electricity still down in most parts of #KTM. Ppl taking shelter in open spaces. Aftershocks still coming. #earthquake,[6]
592216632954486786,"#IDF delegation that flew out to #Nepal, incl. 240 medical &amp; logistics officers + field hospital crew: http://t.co/yBAsSchlUb. #Israel","[0, 2]"
592217003164868608,"Shiromani Gurdwara Parbandhak Committee (SGPC) to send food, relief material to Nepal : reports @ANI 
#Nepalearhhquake #earthquake",[0]
592217368375402496,".@UPGovt sends 21 trucks of mineral water, biscuits and medicines to #earthquake affected #Nepal @News18UP #NepalQuake","[0, 5]"
592217703563177984,"Our brethren in Nepal need massive humanitarian need. All schools, colleges and universities must conduct blood donation camps on priority.",[3]
592217837361442816,#PakStandsWithNepal 4 Planes have left for Nepal with food items and rescue teams! We are planning more http://t.co/0IelYvw4EK,[0]
